IM0101;via Is Mirrionis (ang. via Timavo);16,3,8,58
IM0102;via Is Mirrionis (lato distributore);3,8
IM0103;via Is Mirrionis (ang via Montesanto);20,16,3,8
IM0171;via Is Mirrionis (lato Magistero);8H,58,5S
IN1136;Ist. Tecnico Marconi;15
IN1137;prol. Vesalio;15
IR0077;p.zza Irpinia;6
IS0668;via Istria (ang. via F.lli Cervi);19,17,QSB,QSA,QS,30
IS0669;via Istria (ang. via Confalonieri);19,17,QSB,QSA,QS,30
IT0549;via Italia (pressi passaggio livello);19S,19,QSB,QSA,QS,9M,8H,8,M
IT0551;via Italia (fronte Vetreria);19S,19,QSB,QSA,QS,9M,8H,8,M
IT0552;via Italia (lato Vetreria);19S,19,QSB,QSA,QS,8H,8,M
IT0690;via Italia (ang. via d'Acquisto);19S,19,QSB,QSA,QS,8H,8,M
IT0815;via Italia (ang. via Sinnai);19S,19,15,QSB,QSA,QS,8H,8,M
IT0824;via Italia (civ 24 portici, pressi via d'Acquisto);19S,19,15,QSB,QSA,QS,9M,8H,8,M
JE0131;via Jenner (fronte Osp. Oncologico);13
JE0559;via Jenner (Osp. Oncologico);13
JE0560;via Jenner (Osp. Brotzu);13
JE0842;via Jenner (ang. via Koch);19S,19,13,QSB,QS
JE0869;via Jenner (fronte via Koch);13
JE0870;via Jenner (fronte Casa Accoglienza);13
JE0872;via Jenner (Casa Accoglienza);13
LB0315;via Libeccio;3
LE0825;via Legnano;QSB,QS,9M,8H,8,M
LG0755;Via Alfonso Ligas;P
LI0078;via Liguria (Liceo Pacinotti);13,3
LI0079;via Liguria (fronte Pacinotti);16,3
LI0081;via Liguria (ang. via Istria);16,3
LI0738;via Liguria (fronte via Istria);13,3
LI1255;Via Liguria QS;
LI1267;via Liguria;
LL0327;via Vergine di Lluc (Capolinea 5);6,5
LM0909;via Lamarmora;7
